first name,last name,Google Scholar URL,sanitized_username
Teresa,Hirzle,https://scholar.google.com/citations?user=ozJvIuoAAAAJ&hl=de&oi=ao,teresa_hirzle
Thea,Brüsch,https://scholar.google.com/citations?user=d5tGeskAAAAJ,thea_brusch
Thomas,Gammeltoft-Hansen,https://scholar.google.com/citations?user=UHqHqd0AAAAJ&hl=en,thomas_gammeltoft-hansen
Thomas,Hildebrandt,https://scholar.google.com/citations?user=g3QnDU0AAAAJ&hl=en,thomas_hildebrandt
Thomas,Hamelryck,https://scholar.google.com/citations?user=YoTlzjkAAAAJ&hl=en,thomas_hamelryck
Thomas Dyhre,Nielsen,https://scholar.google.com/citations?user=6fWF0CgAAAAJ&hl=da,thomas-dyhre_nielsen
Tijs,Slaats,https://scholar.google.com/citations?user=c9fu-JIAAAAJ&hl=en,tijs_slaats
Timothy,Jenkins,https://scholar.google.de/citations?user=90oElWgAAAAJ&hl=en,timothy_jenkins
Toke,Høye,https://scholar.google.dk/citations?hl=da&user=veyhhTsAAAAJ,toke_hoye
Tomislav,Dragicevic,https://scholar.google.com/citations?user=-cOE0hUAAAAJ,tomislav_dragicevic
Tommy Sonne,Alstrøm,https://scholar.google.dk/citations?user=jAmaPr4AAAAJ,tommy-sonne_alstrom
Tor-Salve,Dalsgaard,https://scholar.google.com/citations?user=RVTz6jgAAAAJ,tor-salve_dalsgaard
Tuukka,Ruotsalo,https://scholar.google.com/citations?user=Dwj2B9EAAAAJ,tuukka_ruotsalo
Ulrik,Schultz,https://scholar.google.com/citations?user=o2-ZYpEAAAAJ,ulrik_schultz
Vasiliki,Fragkia,https://scholar.google.com/citations?user=GM7M-0AAAAAJ,vasiliki_fragkia
Vedran,Sekara,https://scholar.google.dk/citations?user=u_dmO4UAAAAJ&hl=en,vedran_sekara
Vedrana,Dahl,https://scholar.google.dk/citations?user=UKzooBcAAAAJ&hl=da,vedrana_dahl
Vésteinn,Snæbjarnarson,https://scholar.google.com/citations?user=cp283P4AAAAJ,vesteinn_snaebjarnarson
Wei,Fan,https://scholar.google.com/citations?user=vP57OjMAAAAJ&hl=da,wei_fan
Wouter,Boomsma,https://scholar.google.com/citations?user=EwqU_jsAAAAJ&hl=en,wouter_boomsma
Yevgeny,Seldin,https://scholar.google.dk/citations?user=fpWsD9oAAAAJ&hl=en,yevgeny_seldin
yijie,zhang,https://scholar.google.com/citations?user=HVR4014AAAAJ&hl=en,yijie_zhang
Yongluan,Zhou,https://scholar.google.com/citations?user=Tqh1RIkAAAAJ,yongluan_zhou
